gameSlug,videoSrc,imgSrc,url,name,score,type
bullet-force-multiplayer,https://videos.crazygames.com/bullet-force-multiplayer/6/bullet-force-multiplayer-180x111.mp4,"https://images.crazygames.com/bulletforcemultiplayerc.png?auto=format,compress&ch=DPR&q=90&cs=strip&w=180",https://www.crazygames.com/game/bullet-force-multiplayer,"
Bullet Force ","
9.2 ",home
madalin-stunt-cars-2,https://videos.crazygames.com/madalin-stunt-cars-2/2/madalin-stunt-cars-2-180x111.mp4,"https://images.crazygames.com/madalinstuntcars2b.png?auto=format,compress&ch=DPR&q=90&cs=strip&w=180",https://www.crazygames.com/game/madalin-stunt-cars-2,"
Madalin Stunt Cars 2 ","
9.3 ",home
krunker-io,https://videos.crazygames.com/krunker-io/2/krunker-io-180x111.mp4,"https://images.crazygames.com/krunkerio.png?auto=format,compress&ch=DPR&q=90&cs=strip&w=180",https://www.crazygames.com/game/krunker-io,"
Krunker.io ","
9.3 ",home
shellshockersio,https://videos.crazygames.com/shellshockersio/1/shellshockersio-180x111.mp4,"https://images.crazygames.com/shellshockio.png?auto=format,compress&ch=DPR&q=90&cs=strip&w=180",https://www.crazygames.com/game/shellshockersio,"
Shell Shockers ","
9.3 ",home
basketball-stars-2019,https://videos.crazygames.com/basketball-stars-2019/1/basketball-stars-2019-thumbnail.mp4,"https://images.crazygames.com/games/basketball-stars-2019/thumb-1559122887817.png?auto=format,compress&ch=DPR&q=90&cs=strip&w=180",https://www.crazygames.com/game/basketball-stars-2019,"
Basketball Stars ","
8.9 ",home
zombsroyaleio,https://videos.crazygames.com/zombsroyaleio/1/zombsroyaleio-180x111.mp4,"https://images.crazygames.com/zombsroyaleio.png?auto=format,compress&ch=DPR&q=90&cs=strip&w=180",https://www.crazygames.com/game/zombsroyaleio,"
Zombs Royale (ZombsRoyale.io) ","
9.3 ",home
crazy-roll-3d,https://videos.crazygames.com/crazy-roll-3d/1/crazy-roll-3d-180x111.mp4,"https://images.crazygames.com/games/crazy-roll-3d/thumb-1551212403077.png?auto=format,compress&ch=DPR&q=90&cs=strip&w=180",https://www.crazygames.com/game/crazy-roll-3d,"
Crazy Roll 3D ","
9.3 ",home
slitherio,https://videos.crazygames.com/slitherio-trimmed.mp4,"https://images.crazygames.com/slitheriob.png?auto=format,compress&ch=DPR&q=90&cs=strip&w=180",http://www.crazygames.com/game/slitherio,"
Slither.io ","
8.9 ",home
minecraft-classic,https://videos.crazygames.com/minecraft-classic/1/minecraft-classic-thumbnail.mp4,"https://images.crazygames.com/games/minecraft-classic/thumb-1557306677504.png?auto=format,compress&ch=DPR&q=90&cs=strip&w=180",https://www.crazygames.com/game/minecraft-classic,"
Minecraft Classic ","
8.7 ",home
survivio,https://videos.crazygames.com/survivio/1/survivio-180x111.mp4,"https://images.crazygames.com/survivio.png?auto=format,compress&ch=DPR&q=90&cs=strip&w=180",https://www.crazygames.com/game/survivio,"
Surviv.io (Survivio) ","
9.4 ",home
snowball-io,https://videos.crazygames.com/snowball-io/1/snowball-io-180x111.mp4,"https://images.crazygames.com/snowball-ioc.png?auto=format,compress&ch=DPR&q=90&cs=strip&w=180",https://www.crazygames.com/game/snowball-io,"
Snowball.io ","
9.4 ",home
the-final-earth-2,https://videos.crazygames.com/the-final-earth-2/2/the-final-earth-2-thumbnail.mp4,"https://images.crazygames.com/games/the-final-earth-2/thumb-1560249910117.png?auto=format,compress&ch=DPR&q=90&cs=strip&w=180",https://www.crazygames.com/game/the-final-earth-2,"
The Final Earth 2 ","
9.4 ",home
amazing-strange-rope-police-vice-spider,https://videos.crazygames.com/amazing-strange-rope-police-vice-spider/1/amazing-strange-rope-police-vice-spider-180x111.mp4,"https://images.crazygames.com/amazing-strange-rope-police-vice-spider-vegas.png?auto=format,compress&ch=DPR&q=90&cs=strip&w=180",https://www.crazygames.com/game/amazing-strange-rope-police-vice-spider,"
Amazing Strange Rope Police ","
9.3 ",home
creepy-granny-scream-scary-freddy,https://videos.crazygames.com/creepy-granny-scream-scary-freddy/1/creepy-granny-scream-scary-freddy-180x111.mp4,"https://images.crazygames.com/creepy-granny-scream-scary-freddy-horror-game.png?auto=format,compress&ch=DPR&q=90&cs=strip&w=180",https://www.crazygames.com/game/creepy-granny-scream-scary-freddy,"
Creepy Granny Scream: Scary Freddy ","
9.0 ",home
sword-io,https://videos.crazygames.com/sword-io/1/sword-io-thumbnail.mp4,"https://images.crazygames.com/games/sword-io/thumb-1559566041575.png?auto=format,compress&ch=DPR&q=90&cs=strip&w=180",https://www.crazygames.com/game/sword-io,"
Sword.io ","
9.5 ",home
combat-5,https://videos.crazygames.com/combat-5/1/combat-5-180x111.mp4,"https://images.crazygames.com/combat5.png?auto=format,compress&ch=DPR&q=90&cs=strip&w=180",https://www.crazygames.com/game/combat-5,"
Combat 5 (Combat Online) ","
9.3 ",home
agmaio,https://videos.crazygames.com/agmaio/1/agmaio-180x111.mp4,"https://images.crazygames.com/agmaio.png?auto=format,compress&ch=DPR&q=90&cs=strip&w=180",http://www.crazygames.com/game/agmaio,"
Agma.io ","
9.2 ",home
paper-minecraft,https://videos.crazygames.com/paper-minecraft/1/paper-minecraft-180x111.mp4,"https://images.crazygames.com/paperminecraft.png?auto=format,compress&ch=DPR&q=90&cs=strip&w=180",https://www.crazygames.com/game/paper-minecraft,"
Paper Minecraft ","
9.2 ",home
anova,https://videos.crazygames.com/anova/1/anova-thumbnail.mp4,"https://images.crazygames.com/games/anova/thumb-1560281251207.png?auto=format,compress&ch=DPR&q=90&cs=strip&w=180",https://www.crazygames.com/game/anova,"
ANOVA ","
9.5 ",home
yohoho-io,https://videos.crazygames.com/yohoho-io/1/yohoho-io-thumbnail.mp4,"https://images.crazygames.com/games/yohoho-io/thumb-1554396720549.png?auto=format,compress&ch=DPR&q=90&cs=strip&w=180",https://www.crazygames.com/game/yohoho-io,"
Yohoho.io ","
9.3 ",home
moto-x3m-pool-party,https://videos.crazygames.com/moto-x3m-pool-party/1/moto-x3m-pool-party-180x111.mp4,"https://images.crazygames.com/games/moto-x3m-pool-party/thumb-1551694459719.png?auto=format,compress&ch=DPR&q=90&cs=strip&w=180",https://www.crazygames.com/game/moto-x3m-pool-party,"
Moto X3M 5: Pool Party ","
9.2 ",home
